timestamp,open,high,low,close,volume
2022-01-13,47.5500,48.1700,46.6010,46.7700,3975181
2022-01-12,47.1700,47.7600,46.5850,47.5400,5059027
2022-01-11,45.6200,46.4950,44.8600,46.4900,3680275
2022-01-10,45.8800,46.2550,45.1600,45.6900,3631945
2022-01-07,45.8500,46.4525,45.4100,46.0700,3159831
2022-01-06,46.6300,46.7950,44.9850,45.5700,4706971
2022-01-05,46.5500,48.2300,46.2100,46.2500,5762552
2022-01-04,45.9300,46.6300,45.8650,46.1900,3338238
2022-01-03,44.9800,46.3300,44.9800,45.5400,3489672
2021-12-31,44.4600,44.9300,44.2700,44.7800,2103514
2021-12-30,44.7000,45.3400,44.4500,44.4800,1880168
2021-12-29,44.8000,45.2950,44.4800,44.7400,2165789
2021-12-28,45.1400,45.4250,44.7300,45.0100,2299765
2021-12-27,44.2000,45.3500,43.7500,45.3500,2516381
2021-12-23,44.1900,44.6700,44.0027,44.3700,2223308
2021-12-22,43.6400,44.3900,43.3850,44.3100,2588997
2021-12-21,42.4900,43.8700,42.4900,43.6700,3355483
2021-12-20,42.0300,42.1500,41.1800,41.9900,6600852
2021-12-17,42.2300,43.3400,41.8100,43.0300,9416820
2021-12-16,42.2500,43.2800,42.1500,42.4700,3982744
2021-12-15,41.3100,41.7100,39.7900,41.5800,5043774
2021-12-14,41.4700,42.7400,41.4200,41.7300,3358366
2021-12-13,42.3600,42.5300,41.2550,41.7900,4530140
2021-12-10,43.0800,43.1500,41.7400,42.4100,2614583
2021-12-09,42.5700,42.6000,41.9500,42.4100,3927327
2021-12-08,42.4400,42.9900,42.1300,42.8600,2338246
2021-12-07,42.2100,43.1100,42.1700,42.3300,2669408
2021-12-06,41.1800,41.8701,40.4200,41.4100,3425140
2021-12-03,41.4400,41.6600,40.4400,40.9100,4124894
2021-12-02,40.4700,41.4200,40.3200,41.2200,3866756
